Date,Ticker,Quantity,Entry Price ($),Exit Price ($),Commission ($),Profit/Loss ($)
2023-01-15,IWM,352,20.93,30.68,5.0,3427.0
2023-07-27,TSM,205,221.5,217.45,5.0,-835.25
2023-06-02,INTC,171,130.64,137.52,5.0,1171.48
2023-10-09,AAPL,12,413.08,404.85,5.0,-103.76
2023-06-18,QQQ,149,35.3,45.29,5.0,1483.51
2023-01-15,BABA,108,353.49,363.17,5.0,1040.44
2023-04-26,QQQ,277,177.44,181.55,5.0,1133.47
2023-08-01,GOOGL,498,485.67,476.46,5.0,-4591.58
2023-12-14,XLU,451,154.49,147.26,5.0,-3265.73
2023-01-02,BABA,73,104.96,113.92,5.0,649.08
2023-07-22,XLE,253,195.5,192.57,5.0,-746.29
2023-09-04,TSLA,75,291.82,293.89,5.0,150.25
2023-02-12,QQQ,498,317.27,322.89,5.0,2793.76
2023-08-07,TSLA,257,173.64,183.19,5.0,2449.35
2023-07-23,AAPL,133,47.1,51.84,5.0,625.42
2023-04-14,AMD,347,344.53,339.05,5.0,-1906.56
2023-06-22,BABA,325,86.82,96.82,5.0,3245.0
2023-01-06,INTC,260,105.12,102.42,5.0,-707.0
2023-11-03,TSLA,404,206.39,200.55,5.0,-2364.36
2023-04-16,XLV,367,491.86,501.6,5.0,3569.58
2023-02-26,MSFT,464,159.08,165.17,5.0,2820.76
2023-11-18,QQQ,126,229.38,238.88,5.0,1192.0
2023-10-18,DIA,20,253.5,248.27,5.0,-109.6
2023-06-29,AMZN,325,313.72,315.13,5.0,453.25
2023-08-21,TSLA,251,190.59,200.51,5.0,2484.92
2023-09-28,AMZN,233,178.94,185.76,5.0,1584.06
2023-11-22,AMZN,59,389.18,387.24,5.0,-119.46
2023-07-15,AMZN,136,251.72,242.28,5.0,-1288.84
2023-04-07,TSM,18,194.87,203.3,5.0,146.74
2023-12-03,IWM,61,171.49,169.1,5.0,-150.79
2023-06-17,XLI,72,456.01,464.93,5.0,637.24
2023-11-25,QQQ,138,29.74,36.99,5.0,995.5
2023-10-25,XLE,495,383.27,383.03,5.0,-123.8
2023-04-23,IWM,16,205.06,207.65,5.0,36.44
2023-11-23,XLV,476,106.07,113.62,5.0,3588.8
2023-04-12,FB,258,53.61,47.25,5.0,-1645.88
2023-09-17,IWM,130,197.77,189.52,5.0,-1077.5
2023-06-04,XLE,325,130.59,121.24,5.0,-3043.75
2023-02-01,TSLA,244,440.77,448.65,5.0,1917.72
2023-12-06,INTC,334,65.47,71.69,5.0,2072.48
2023-04-10,XLE,26,325.28,323.17,5.0,-59.86
2023-08-05,XLE,264,186.66,179.25,5.0,-1961.24
2023-07-22,XLF,55,38.83,48.41,5.0,521.9
2023-08-08,XLE,384,256.49,248.34,5.0,-3134.6
2023-06-04,AAPL,374,431.63,429.37,5.0,-850.24
2023-05-16,TSLA,286,280.07,278.64,5.0,-413.98
2023-05-18,DIA,361,397.83,393.0,5.0,-1748.63
2023-09-23,FB,70,213.6,207.01,5.0,-466.3
2023-07-26,XLF,104,143.63,150.47,5.0,706.36
2023-04-10,XLI,190,357.56,353.74,5.0,-730.8
2023-01-03,AAPL,48,496.51,497.41,5.0,38.2
2023-11-03,AMD,165,86.65,85.2,5.0,-244.25
2023-07-28,AMD,189,218.86,212.08,5.0,-1286.42
2023-11-03,XLI,313,281.44,282.32,5.0,270.44
2023-05-07,NVDA,438,69.59,73.15,5.0,1554.28
2023-10-14,XLI,39,414.64,414.78,5.0,0.46
2023-09-26,IWM,468,389.17,394.49,5.0,2484.76
2023-07-17,MSFT,311,300.06,308.48,5.0,2613.62
2023-10-04,QQQ,319,487.02,481.52,5.0,-1759.5
2023-11-06,BABA,388,416.74,415.04,5.0,-664.6
2023-02-23,INTC,93,136.24,144.55,5.0,767.83
2023-02-10,XLV,104,31.46,22.24,5.0,-963.88
2023-09-26,SPY,408,195.87,188.33,5.0,-3081.32
2023-04-05,MSFT,63,289.72,281.38,5.0,-530.42
2023-02-11,DIA,140,451.31,454.87,5.0,493.4
2023-02-09,IWM,110,238.54,234.15,5.0,-487.9
2023-03-24,TSLA,379,93.24,84.26,5.0,-3408.42
2023-01-14,NVDA,409,96.67,97.88,5.0,489.89
2023-06-25,NVDA,445,346.79,350.85,5.0,1801.7
2023-02-22,AMZN,47,207.62,201.96,5.0,-271.02
2023-04-30,MSFT,293,163.21,162.3,5.0,-271.63
2023-11-03,XLF,254,356.16,346.72,5.0,-2402.76
2023-10-30,XLV,320,15.75,19.1,5.0,1067.0
2023-04-26,XLF,218,315.99,309.28,5.0,-1467.78
2023-04-14,XLF,466,49.78,48.44,5.0,-629.44
2023-08-17,MSFT,169,179.87,177.39,5.0,-424.12
2023-01-31,BABA,382,39.88,44.5,5.0,1759.84
2023-04-17,TSM,253,150.23,159.07,5.0,2231.52
2023-03-04,BABA,310,478.52,470.81,5.0,-2395.1
2023-09-01,AMD,238,247.74,246.03,5.0,-411.98
2023-08-02,XLE,194,464.0,463.75,5.0,-53.5
2023-04-04,FB,169,484.39,488.42,5.0,676.07
2023-12-30,INTC,52,422.52,428.38,5.0,299.72
2023-09-04,SPY,491,447.43,438.92,5.0,-4183.41
2023-04-26,MSFT,379,191.17,189.39,5.0,-679.62
2023-05-31,AMD,44,216.29,217.82,5.0,62.32
2023-02-28,TSLA,170,419.78,424.03,5.0,717.5
2023-07-16,IWM,310,96.25,92.8,5.0,-1074.5
2023-10-27,TSM,12,210.88,209.22,5.0,-24.92
2023-12-26,XLU,452,12.24,5.74,5.0,-2943.0
2023-03-12,GOOGL,192,356.89,352.29,5.0,-888.2
2023-01-31,XLU,252,364.46,366.89,5.0,607.36
2023-07-22,TSM,451,490.59,488.41,5.0,-988.18
2023-08-26,AAPL,185,100.49,95.97,5.0,-841.2
2023-03-29,TSLA,364,63.43,53.78,5.0,-3517.6
2023-09-14,SPY,349,160.36,151.18,5.0,-3208.82
2023-11-07,INTC,493,494.87,495.46,5.0,285.87
2023-02-22,INTC,335,209.84,209.95,5.0,31.85
2023-05-26,TSLA,333,263.06,271.49,5.0,2802.19
2023-07-16,MSFT,431,319.68,321.16,5.0,632.88
2023-02-24,BABA,223,419.46,413.12,5.0,-1418.82
2023-07-01,GOOGL,83,234.64,227.41,5.0,-605.09
2023-04-12,AMZN,330,243.53,245.21,5.0,549.4
2023-01-27,AMD,73,230.96,225.82,5.0,-380.22
2023-03-05,TSM,65,87.0,94.32,5.0,470.8
2023-02-11,SPY,98,124.52,127.49,5.0,286.06
2023-10-14,XLF,259,414.84,415.29,5.0,111.55
2023-06-04,INTC,121,487.52,482.22,5.0,-646.3
2023-01-25,XLI,359,258.86,258.43,5.0,-159.37
2023-03-14,XLF,185,449.58,452.21,5.0,481.55
2023-02-17,IWM,160,151.13,144.93,5.0,-997.0
2023-08-03,INTC,233,239.61,234.75,5.0,-1137.38
2023-06-29,MSFT,271,465.38,470.48,5.0,1377.1
2023-09-24,QQQ,232,331.44,333.49,5.0,470.6
2023-11-21,AMD,129,231.49,231.62,5.0,11.77
2023-05-24,XLI,463,436.72,435.29,5.0,-667.09
2023-07-16,BABA,26,278.76,284.33,5.0,139.82
2023-03-17,INTC,168,380.68,388.89,5.0,1374.28
2023-10-13,AMD,125,382.83,390.65,5.0,972.5
2023-01-19,NVDA,394,258.14,257.08,5.0,-422.64
2023-11-03,NVDA,240,497.15,498.68,5.0,362.2
2023-11-17,IWM,439,74.08,83.29,5.0,4038.19
2023-07-04,INTC,408,123.9,129.3,5.0,2198.2
2023-05-01,NVDA,160,414.92,423.48,5.0,1364.6
2023-08-16,INTC,101,189.08,182.34,5.0,-685.74
2023-02-02,SPY,326,164.12,169.05,5.0,1602.18
2023-03-21,TSM,130,67.7,73.68,5.0,772.4
2023-04-17,AMD,188,57.03,55.04,5.0,-379.12
2023-02-16,FB,316,182.35,185.56,5.0,1009.36
2023-05-19,XLU,115,18.01,15.94,5.0,-243.05
2023-10-28,BABA,347,243.96,249.81,5.0,2024.95
2023-09-03,XLE,28,392.47,394.56,5.0,53.52
2023-09-29,IWM,102,357.42,349.04,5.0,-859.76
2023-08-10,XLI,146,81.61,81.91,5.0,38.8
2023-07-05,XLE,215,134.12,128.21,5.0,-1275.65
2023-11-01,AMD,73,183.09,188.66,5.0,401.61
2023-03-25,XLU,191,486.87,485.73,5.0,-222.74
2023-03-18,AMD,308,296.49,289.8,5.0,-2065.52
2023-12-02,XLU,73,352.33,350.16,5.0,-163.41
2023-06-22,AMZN,49,191.14,197.47,5.0,305.17
2023-03-12,MSFT,192,272.82,263.08,5.0,-1875.08
2023-12-05,AMD,448,203.8,197.07,5.0,-3020.04
2023-08-08,XLE,483,160.62,159.65,5.0,-473.51
2023-05-20,MSFT,440,489.7,489.92,5.0,91.8
2023-05-03,XLE,139,125.37,117.07,5.0,-1158.7
2023-07-05,NVDA,375,125.36,132.4,5.0,2635.0
2023-06-03,IWM,395,321.22,319.25,5.0,-783.15
2023-01-19,FB,341,12.06,16.39,5.0,1471.53
2023-04-08,XLU,187,240.81,242.93,5.0,391.44
2023-10-17,BABA,461,463.84,454.12,5.0,-4485.92
2023-02-20,INTC,252,211.88,218.46,5.0,1653.16
2023-07-02,DIA,271,181.68,188.26,5.0,1778.18
2023-01-20,XLE,461,19.07,15.88,5.0,-1475.59
2023-08-28,XLV,312,433.26,442.06,5.0,2740.6
2023-05-16,AMZN,363,50.92,43.39,5.0,-2738.39
2023-01-22,XLU,420,487.67,483.73,5.0,-1659.8
2023-05-29,XLI,330,145.87,135.92,5.0,-3288.5
2023-10-17,AMD,188,321.01,324.41,5.0,634.2
2023-01-29,GOOGL,315,120.61,111.53,5.0,-2865.2
2023-12-15,XLU,29,67.67,61.3,5.0,-189.73
2023-05-09,XLU,129,256.95,260.69,5.0,477.46
2023-12-08,INTC,332,491.05,496.3,5.0,1738.0
2023-10-03,INTC,147,193.13,188.65,5.0,-663.56
2023-02-12,XLV,104,430.93,424.51,5.0,-672.68
2023-08-30,NVDA,341,409.26,410.98,5.0,581.52
2023-07-03,BABA,32,50.56,55.24,5.0,144.76
2023-11-07,AMD,15,326.5,318.67,5.0,-122.45
2023-08-01,INTC,355,244.51,240.65,5.0,-1375.3
2023-11-07,DIA,171,214.97,210.22,5.0,-817.25
2023-09-10,DIA,316,387.67,394.64,5.0,2197.52
2023-03-07,AMZN,111,330.74,332.22,5.0,159.28
2023-02-03,BABA,291,355.46,347.59,5.0,-2295.17
2023-09-26,DIA,332,498.17,505.79,5.0,2524.84
2023-08-13,GOOGL,170,452.77,458.7,5.0,1003.1
2023-08-27,FB,335,364.78,362.29,5.0,-839.15
2023-03-21,INTC,144,439.82,434.05,5.0,-835.88
2023-10-06,XLI,256,42.77,41.75,5.0,-266.12
2023-12-15,AMZN,365,325.36,331.92,5.0,2389.4
2023-06-25,TSLA,17,147.84,153.9,5.0,98.02
2023-12-01,XLE,228,237.6,233.64,5.0,-907.88
2023-06-21,FB,369,235.26,245.13,5.0,3637.03
2023-02-05,NVDA,265,122.15,128.93,5.0,1791.7
2023-10-13,MSFT,264,107.97,113.23,5.0,1383.64
2023-07-22,XLE,288,18.23,10.01,5.0,-2372.36
2023-09-02,XLV,145,442.46,435.98,5.0,-944.6
2023-05-13,FB,423,325.37,333.04,5.0,3239.41
2023-09-29,GOOGL,364,69.32,67.15,5.0,-794.88
2023-03-14,XLI,250,207.76,202.21,5.0,-1392.5
2023-03-09,XLE,415,98.21,102.92,5.0,1949.65
2023-01-30,SPY,353,107.05,100.58,5.0,-2288.91
2023-01-15,XLE,416,143.27,151.12,5.0,3260.6
2023-07-02,TSM,197,129.88,136.84,5.0,1366.12
2023-01-25,QQQ,418,240.79,233.22,5.0,-3169.26
2023-08-30,FB,378,160.3,167.51,5.0,2720.38
2023-12-18,XLU,341,78.54,75.35,5.0,-1092.79
2023-02-05,AMD,127,143.51,144.23,5.0,86.44
2023-06-27,IWM,26,69.14,77.8,5.0,220.16
2023-07-10,XLE,476,72.96,80.68,5.0,3669.72
2023-01-15,GOOGL,98,471.02,471.05,5.0,-2.06
2023-12-14,QQQ,421,492.11,498.75,5.0,2790.44
2023-09-05,XLV,67,42.79,50.96,5.0,542.39
2023-03-20,XLE,347,49.16,40.9,5.0,-2871.22
2023-01-02,XLE,175,233.56,228.49,5.0,-892.25
2023-10-27,DIA,455,189.63,188.32,5.0,-601.05
2023-11-18,BABA,251,52.94,44.62,5.0,-2093.32
2023-08-24,AMZN,87,73.98,77.07,5.0,263.83
2023-09-24,GOOGL,263,27.96,20.6,5.0,-1940.68
2023-03-20,AMD,325,190.63,182.04,5.0,-2796.75
2023-08-25,BABA,10,288.54,296.62,5.0,75.8
2023-08-28,XLI,47,251.37,253.81,5.0,109.68
2023-05-18,QQQ,329,277.16,278.48,5.0,429.28
2023-05-04,XLF,459,274.96,281.51,5.0,3001.45
2023-11-08,AMD,340,333.8,328.33,5.0,-1864.8
2023-03-09,GOOGL,14,119.11,110.28,5.0,-128.62
2023-05-27,XLI,228,442.85,437.78,5.0,-1160.96
2023-09-14,DIA,92,477.75,471.56,5.0,-574.48
2023-06-28,FB,424,250.03,255.42,5.0,2280.36
2023-03-30,AMD,271,33.89,42.55,5.0,2341.86
2023-12-07,TSM,260,361.39,365.06,5.0,949.2
2023-06-22,AMD,312,197.43,200.93,5.0,1087.0
2023-10-30,XLE,245,194.58,194.68,5.0,19.5
2023-07-24,INTC,285,234.75,235.58,5.0,231.55
2023-05-09,XLE,374,485.58,490.85,5.0,1965.98
2023-12-15,AAPL,179,422.76,422.15,5.0,-114.19
2023-08-22,MSFT,317,122.37,119.26,5.0,-990.87
2023-12-26,FB,70,172.08,177.14,5.0,349.2
2023-01-28,XLE,379,52.21,46.35,5.0,-2225.94
2023-08-26,SPY,20,363.98,361.13,5.0,-62.0
2023-12-30,AMD,172,23.16,30.6,5.0,1274.68
2023-10-26,NVDA,245,71.91,76.63,5.0,1151.4
2023-01-22,TSM,302,63.53,66.18,5.0,795.3
2023-09-09,XLV,434,286.36,277.8,5.0,-3720.04
2023-02-13,MSFT,167,92.32,97.82,5.0,913.5
2023-01-11,DIA,490,471.77,477.46,5.0,2783.1
2023-11-24,XLI,223,66.23,62.21,5.0,-901.46
2023-04-04,XLI,125,347.56,356.02,5.0,1052.5
2023-06-17,DIA,400,113.31,120.19,5.0,2747.0
2023-04-18,XLU,30,94.51,98.7,5.0,120.7
2023-08-31,XLV,214,292.4,288.92,5.0,-749.72
2023-09-23,MSFT,371,225.27,222.3,5.0,-1106.87
2023-08-06,IWM,334,121.73,120.21,5.0,-512.68
2023-01-10,AMZN,426,389.44,388.89,5.0,-239.3
2023-08-14,XLI,167,311.06,308.65,5.0,-407.47
2023-03-01,XLF,471,405.62,411.0,5.0,2528.98
2023-07-27,XLI,364,243.02,244.29,5.0,457.28
2023-07-08,MSFT,88,306.91,311.59,5.0,406.84
2023-07-22,SPY,405,397.07,399.96,5.0,1165.45
2023-11-16,FB,417,23.67,19.14,5.0,-1894.01
2023-12-19,XLI,19,114.4,121.61,5.0,131.99
